Year,Sport,Country,Gender,Medal Rank,Medal,Age of Athlete,Event,Name of Athlete or Team
1924,Bobsled,Switzerland,Men,1,gold,,Men's Four/Five,Switzerland-1
1924,Bobsled,Britain,Men,2,silver,,Men's Four/Five,Britain-1
1924,Bobsled,Belgium,Men,3,bronze,,Men's Four/Five,Belgium-1
1928,Bobsled,United States,Men,1,gold,,Men's Four/Five,United States-2
1928,Bobsled,United States,Men,2,silver,,Men's Four/Five,United States-1
1928,Bobsled,Germany,Men,3,bronze,,Men's Four/Five,Germany-2
1932,Bobsled,United States,Men,1,gold,,Men's Two,United States-1
1932,Bobsled,Switzerland,Men,2,silver,,Men's Two,Switzerland-2
1932,Bobsled,United States,Men,3,bronze,,Men's Two,United States-2
1932,Bobsled,United States,Men,1,gold,,Men's Four/Five,United States-1
1932,Bobsled,United States,Men,2,silver,,Men's Four/Five,United States-2
1932,Bobsled,Germany,Men,3,bronze,,Men's Four/Five,Germany-1
1936,Bobsled,United States,Men,1,gold,,Men's Two,United States-1
1936,Bobsled,Switzerland,Men,2,silver,,Men's Two,Switzerland-2
1936,Bobsled,United States,Men,3,bronze,,Men's Two,United States-2
1936,Bobsled,Switzerland,Men,1,gold,,Men's Four/Five,Switzerland-2
1936,Bobsled,Switzerland,Men,2,silver,,Men's Four/Five,Switzerland-1
1936,Bobsled,Britain,Men,3,bronze,,Men's Four/Five,Britain
1948,Bobsled,Switzerland,Men,1,gold,,Men's Two,Switzerland-2
1948,Bobsled,Switzerland,Men,2,silver,,Men's Two,Switzerland-1
1948,Bobsled,United States,Men,3,bronze,,Men's Two,United States-2
1948,Bobsled,United States,Men,1,gold,,Men's Four/Five,United States-2
1948,Bobsled,Belgium,Men,2,silver,,Men's Four/Five,Belgium
1948,Bobsled,United States,Men,3,bronze,,Men's Four/Five,United States-1
1952,Bobsled,Germany,Men,1,gold,,Men's Two,Germany-1
1952,Bobsled,United States,Men,2,silver,,Men's Two,United States-1
1952,Bobsled,Switzerland,Men,3,bronze,,Men's Two,Switzerland-1
1952,Bobsled,Germany,Men,1,gold,,Men's Four/Five,Germany
1952,Bobsled,United States,Men,2,silver,,Men's Four/Five,United States-1
1952,Bobsled,Switzerland,Men,3,bronze,,Men's Four/Five,Switzerland-1
1956,Bobsled,Italy,Men,1,gold,,Men's Two,Italy-1
1956,Bobsled,Italy,Men,2,silver,,Men's Two,Italy-2
1956,Bobsled,Switzerland,Men,3,bronze,,Men's Two,Switzerland-1
1956,Bobsled,Switzerland,Men,1,gold,,Men's Four/Five,Switzerland-1
1956,Bobsled,Italy,Men,2,silver,,Men's Four/Five,Italy-2
1956,Bobsled,United States,Men,3,bronze,,Men's Four/Five,United States-1
1964,Bobsled,Britain,Men,1,gold,,Men's Two,Britain-1
1964,Bobsled,Italy,Men,2,silver,,Men's Two,Italy-2
1964,Bobsled,Italy,Men,3,bronze,,Men's Two,Italy-1
1964,Bobsled,Canada,Men,1,gold,,Men's Four/Five,Canada-1
1964,Bobsled,Austria,Men,2,silver,,Men's Four/Five,Austria-1
1964,Bobsled,Italy,Men,3,bronze,,Men's Four/Five,Italy-2
1968,Bobsled,Italy,Men,1,gold,,Men's Two,Italy-1
1968,Bobsled,West Germany,Men,2,silver,,Men's Two,West Germany-1
1968,Bobsled,Romania,Men,3,bronze,,Men's Two,Romania-1
1968,Bobsled,Italy,Men,1,gold,,Men's Four/Five,Italy-1
1968,Bobsled,Austria,Men,2,silver,,Men's Four/Five,Austria-1
1968,Bobsled,Switzerland,Men,3,bronze,,Men's Four/Five,Switzerland-1
1972,Bobsled,West Germany,Men,1,gold,,Men's Two,West Germany-2
1972,Bobsled,West Germany,Men,2,silver,,Men's Two,West Germany-1
1972,Bobsled,Switzerland,Men,3,bronze,,Men's Two,Switzerland-1
1972,Bobsled,Switzerland,Men,1,gold,,Men's Four/Five,Switzerland-1
1972,Bobsled,Italy,Men,2,silver,,Men's Four/Five,Italy-1
1972,Bobsled,West Germany,Men,3,bronze,,Men's Four/Five,West Germany-1
1976,Bobsled,East Germany,Men,1,gold,,Men's Two,East Germany-2
1976,Bobsled,West Germany,Men,2,silver,,Men's Two,West Germany-1
1976,Bobsled,Switzerland,Men,3,bronze,,Men's Two,Switzerland-1
1976,Bobsled,East Germany,Men,1,gold,,Men's Four/Five,East Germany-1
1976,Bobsled,Switzerland,Men,2,silver,,Men's Four/Five,Switzerland-2
1976,Bobsled,West Germany,Men,3,bronze,,Men's Four/Five,West Germany-1
1980,Bobsled,Switzerland,Men,1,gold,,Men's Two,Switzerland-2
1980,Bobsled,East Germany,Men,2,silver,,Men's Two,East Germany-2
1980,Bobsled,East Germany,Men,3,bronze,,Men's Two,East Germany-1
1980,Bobsled,East Germany,Men,1,gold,,Men's Four/Five,East Germany-1
1980,Bobsled,Switzerland,Men,2,silver,,Men's Four/Five,Switzerland-1
1980,Bobsled,East Germany,Men,3,bronze,,Men's Four/Five,East Germany-2
1984,Bobsled,East Germany,Men,1,gold,,Men's Two,East Germany-2
1984,Bobsled,East Germany,Men,2,silver,,Men's Two,East Germany-1
1984,Bobsled,Soviet Union,Men,3,bronze,,Men's Two,Soviet Union-2
1984,Bobsled,East Germany,Men,1,gold,,Men's Four/Five,East Germany-1
1984,Bobsled,East Germany,Men,2,silver,,Men's Four/Five,East Germany-2
1984,Bobsled,Switzerland,Men,3,bronze,,Men's Four/Five,Switzerland-1
1988,Bobsled,Soviet Union,Men,1,gold,,Men's Two,Soviet Union-1
1988,Bobsled,East Germany,Men,2,silver,,Men's Two,East Germany-1
1988,Bobsled,East Germany,Men,3,bronze,,Men's Two,East Germany-2
1988,Bobsled,Switzerland,Men,1,gold,,Men's Four/Five,Switzerland-1
1988,Bobsled,East Germany,Men,2,silver,,Men's Four/Five,East Germany-1
1988,Bobsled,Soviet Union,Men,3,bronze,,Men's Four/Five,Soviet Union-2
1992,Bobsled,Switzerland,Men,1,gold,,Men's Two,Switzerland-1
1992,Bobsled,Germany,Men,2,silver,,Men's Two,Germany-1
1992,Bobsled,Germany,Men,3,bronze,,Men's Two,Germany-2
1992,Bobsled,Austria,Men,1,gold,,Men's Four/Five,Austria-1
1992,Bobsled,Germany,Men,2,silver,,Men's Four/Five,Germany-1
1992,Bobsled,Switzerland,Men,3,bronze,,Men's Four/Five,Switzerland-1
1994,Bobsled,Switzerland,Men,1,gold,,Men's Two,Switzerland-1
1994,Bobsled,Switzerland,Men,2,silver,,Men's Two,Switzerland-2
1994,Bobsled,Italy,Men,3,bronze,,Men's Two,Italy-1
1994,Bobsled,Germany,Men,1,gold,,Men's Four/Five,Germany-2
1994,Bobsled,Switzerland,Men,2,silver,,Men's Four/Five,Switzerland-1
1994,Bobsled,Germany,Men,3,bronze,,Men's Four/Five,Germany-1
1998,Bobsled,Italy,Men,1,gold,,Men's Two,Italy-1
1998,Bobsled,Canada,Men,1,gold,,Men's Two,Canada-1
1998,Bobsled,Germany,Men,3,bronze,,Men's Two,Germany-1
1998,Bobsled,Germany,Men,1,gold,,Men's Four/Five,Germany-2
1998,Bobsled,Switzerland,Men,2,silver,,Men's Four/Five,Switzerland-1
1998,Bobsled,Britain,Men,3,bronze,,Men's Four/Five,Britain
1998,Bobsled,France,Men,3,bronze,,Men's Four/Five,France
2002,Bobsled,Germany,Men,1,gold,,Men's Two,Germany-1
2002,Bobsled,Switzerland,Men,2,silver,,Men's Two,Switzerland-1
2002,Bobsled,Switzerland,Men,3,bronze,,Men's Two,Switzerland-2
2002,Bobsled,Germany,Men,1,gold,,Men's Four/Five,Germany-2
2002,Bobsled,United States,Men,2,silver,,Men's Four/Five,United States-1
2002,Bobsled,United States,Men,3,bronze,,Men's Four/Five,United States-2
2006,Bobsled,Germany,Men,1,gold,,Men's Two,Germany-1
2006,Bobsled,Canada,Men,2,silver,,Men's Two,Canada-1
2006,Bobsled,Switzerland,Men,3,bronze,,Men's Two,Switzerland-1
2006,Bobsled,Germany,Men,1,gold,,Men's Four/Five,Germany-1
2006,Bobsled,Russia,Men,2,silver,,Men's Four/Five,Russia-1
2006,Bobsled,Switzerland,Men,3,bronze,,Men's Four/Five,Switzerland-1
2010,Bobsled,Germany,Men,1,gold,,Men's Two,Germany-1
2010,Bobsled,Germany,Men,2,silver,,Men's Two,Germany-2
2010,Bobsled,Russia,Men,3,bronze,,Men's Two,Russia-1
2010,Bobsled,United States,Men,1,gold,,Men's Four/Five,United States-1
2010,Bobsled,Germany,Men,2,silver,,Men's Four/Five,Germany-1
2010,Bobsled,Canada,Men,3,bronze,,Men's Four/Five,Canada-1
2014,Bobsled,Russia,Men,1,gold,,Men's Two,Russia
2014,Bobsled,Switzerland,Men,2,silver,,Men's Two,Switzerland
2014,Bobsled,United States,Men,3,bronze,,Men's Two,United States
2014,Bobsled,Russia,Men,1,gold,,Men's Four/Five,Russia
2014,Bobsled,Latvia,Men,2,silver,,Men's Four/Five,Latvia
2014,Bobsled,United States,Men,3,bronze,,Men's Four/Five,United States
1924,Curling,Britain,Men,1,gold,,Men's Curling,Britain
1924,Curling,Sweden,Men,2,silver,,Men's Curling,Sweden
1924,Curling,France,Men,3,bronze,,Men's Curling,France
1924,Biathlon,Switzerland,Men,1,gold,,Men's Military Ski Patrol,Switzerland
1924,Biathlon,Finland,Men,2,silver,,Men's Military Ski Patrol,Finland
1924,Biathlon,France,Men,3,bronze,,Men's Military Ski Patrol,France
1936,Cross-Country Skiing,Finland,Men,1,gold,,Men's 4 × 10-Kilometer Relay,Finland
1936,Cross-Country Skiing,Norway,Men,2,silver,,Men's 4 × 10-Kilometer Relay,Norway
1936,Cross-Country Skiing,Sweden,Men,3,bronze,,Men's 4 × 10-Kilometer Relay,Sweden
1948,Cross-Country Skiing,Sweden,Men,1,gold,,Men's 4 × 10-Kilometer Relay,Sweden
1948,Cross-Country Skiing,Finland,Men,2,silver,,Men's 4 × 10-Kilometer Relay,Finland
1948,Cross-Country Skiing,Norway,Men,3,bronze,,Men's 4 × 10-Kilometer Relay,Norway
1952,Cross-Country Skiing,Finland,Men,1,gold,,Men's 4 × 10-Kilometer Relay,Finland
1952,Cross-Country Skiing,Norway,Men,2,silver,,Men's 4 × 10-Kilometer Relay,Norway
1952,Cross-Country Skiing,Sweden,Men,3,bronze,,Men's 4 × 10-Kilometer Relay,Sweden
1956,Cross-Country Skiing,Soviet Union,Men,1,gold,,Men's 4 × 10-Kilometer Relay,Soviet Union
1956,Cross-Country Skiing,Finland,Men,2,silver,,Men's 4 × 10-Kilometer Relay,Finland
1956,Cross-Country Skiing,Sweden,Men,3,bronze,,Men's 4 × 10-Kilometer Relay,Sweden
1960,Cross-Country Skiing,Finland,Men,1,gold,,Men's 4 × 10-Kilometer Relay,Finland
1960,Cross-Country Skiing,Norway,Men,2,silver,,Men's 4 × 10-Kilometer Relay,Norway
1960,Cross-Country Skiing,Soviet Union,Men,3,bronze,,Men's 4 × 10-Kilometer Relay,Soviet Union
1964,Cross-Country Skiing,Sweden,Men,1,gold,,Men's 4 × 10-Kilometer Relay,Sweden
1964,Cross-Country Skiing,Finland,Men,2,silver,,Men's 4 × 10-Kilometer Relay,Finland
1964,Cross-Country Skiing,Soviet Union,Men,3,bronze,,Men's 4 × 10-Kilometer Relay,Soviet Union
1964,Luge,Austria,Men,1,gold,,Men's Doubles,Austria-1
1964,Luge,Austria,Men,2,silver,,Men's Doubles,Austria-2
1964,Luge,Italy,Men,3,bronze,,Men's Doubles,Italy-1
1968,Biathlon,Soviet Union,Men,1,gold,,Men's 4 × 7.5-Kilometer Relay,Soviet Union
1968,Biathlon,Norway,Men,2,silver,,Men's 4 × 7.5-Kilometer Relay,Norway
1968,Biathlon,Sweden,Men,3,bronze,,Men's 4 × 7.5-Kilometer Relay,Sweden
1968,Cross-Country Skiing,Norway,Men,1,gold,,Men's 4 × 10-Kilometer Relay,Norway
1968,Cross-Country Skiing,Sweden,Men,2,silver,,Men's 4 × 10-Kilometer Relay,Sweden
1968,Cross-Country Skiing,Finland,Men,3,bronze,,Men's 4 × 10-Kilometer Relay,Finland
1968,Luge,East Germany,Men,1,gold,,Men's Doubles,East Germany-1
1968,Luge,Austria,Men,2,silver,,Men's Doubles,Austria-1
1968,Luge,West Germany,Men,3,bronze,,Men's Doubles,West Germany-1
1972,Biathlon,Soviet Union,Men,1,gold,,Men's 4 × 7.5-Kilometer Relay,Soviet Union
1972,Biathlon,Finland,Men,2,silver,,Men's 4 × 7.5-Kilometer Relay,Finland
1972,Biathlon,East Germany,Men,3,bronze,,Men's 4 × 7.5-Kilometer Relay,East Germany
1972,Cross-Country Skiing,Soviet Union,Men,1,gold,,Men's 4 × 10-Kilometer Relay,Soviet Union
1972,Cross-Country Skiing,Norway,Men,2,silver,,Men's 4 × 10-Kilometer Relay,Norway
1972,Cross-Country Skiing,Switzerland,Men,3,bronze,,Men's 4 × 10-Kilometer Relay,Switzerland
1972,Luge,Italy,Men,1,gold,,Men's Doubles,Italy-1
1972,Luge,East Germany,Men,1,gold,,Men's Doubles,East Germany-1
1972,Luge,East Germany,Men,3,bronze,,Men's Doubles,East Germany-2
1976,Biathlon,Soviet Union,Men,1,gold,,Men's 4 × 7.5-Kilometer Relay,Soviet Union
1976,Biathlon,Finland,Men,2,silver,,Men's 4 × 7.5-Kilometer Relay,Finland
1976,Biathlon,East Germany,Men,3,bronze,,Men's 4 × 7.5-Kilometer Relay,East Germany
1976,Cross-Country Skiing,Finland,Men,1,gold,,Men's 4 × 10-Kilometer Relay,Finland
1976,Cross-Country Skiing,Norway,Men,2,silver,,Men's 4 × 10-Kilometer Relay,Norway
1976,Cross-Country Skiing,Soviet Union,Men,3,bronze,,Men's 4 × 10-Kilometer Relay,Soviet Union
1976,Luge,East Germany,Men,1,gold,,Men's Doubles,East Germany-1
1976,Luge,West Germany,Men,2,silver,,Men's Doubles,West Germany-1
1976,Luge,Austria,Men,3,bronze,,Men's Doubles,Austria-1
1980,Biathlon,Soviet Union,Men,1,gold,,Men's 4 × 7.5-Kilometer Relay,Soviet Union
1980,Biathlon,East Germany,Men,2,silver,,Men's 4 × 7.5-Kilometer Relay,East Germany
1980,Biathlon,West Germany,Men,3,bronze,,Men's 4 × 7.5-Kilometer Relay,West Germany
1980,Cross-Country Skiing,Soviet Union,Men,1,gold,,Men's 4 × 10-Kilometer Relay,Soviet Union
1980,Cross-Country Skiing,Norway,Men,2,silver,,Men's 4 × 10-Kilometer Relay,Norway
1980,Cross-Country Skiing,Finland,Men,3,bronze,,Men's 4 × 10-Kilometer Relay,Finland
1980,Luge,East Germany,Men,1,gold,,Men's Doubles,East Germany-1
1980,Luge,Italy,Men,2,silver,,Men's Doubles,Italy-1
1980,Luge,Austria,Men,3,bronze,,Men's Doubles,Austria-1
1984,Biathlon,Soviet Union,Men,1,gold,,Men's 4 × 7.5-Kilometer Relay,Soviet Union
1984,Biathlon,Norway,Men,2,silver,,Men's 4 × 7.5-Kilometer Relay,Norway
1984,Biathlon,West Germany,Men,3,bronze,,Men's 4 × 7.5-Kilometer Relay,West Germany
1984,Cross-Country Skiing,Sweden,Men,1,gold,,Men's 4 × 10-Kilometer Relay,Sweden
1984,Cross-Country Skiing,Soviet Union,Men,2,silver,,Men's 4 × 10-Kilometer Relay,Soviet Union
1984,Cross-Country Skiing,Finland,Men,3,bronze,,Men's 4 × 10-Kilometer Relay,Finland
1984,Luge,West Germany,Men,1,gold,,Men's Doubles,West Germany-1
1984,Luge,Soviet Union,Men,2,silver,,Men's Doubles,Soviet Union-1
1984,Luge,East Germany,Men,3,bronze,,Men's Doubles,East Germany-1
1988,Biathlon,Soviet Union,Men,1,gold,,Men's 4 × 7.5-Kilometer Relay,Soviet Union
1988,Biathlon,West Germany,Men,2,silver,,Men's 4 × 7.5-Kilometer Relay,West Germany
1988,Biathlon,Italy,Men,3,bronze,,Men's 4 × 7.5-Kilometer Relay,Italy
1988,Cross-Country Skiing,Sweden,Men,1,gold,,Men's 4 × 10-Kilometer Relay,Sweden
1988,Cross-Country Skiing,Soviet Union,Men,2,silver,,Men's 4 × 10-Kilometer Relay,Soviet Union
1988,Cross-Country Skiing,Czechoslovakia,Men,3,bronze,,Men's 4 × 10-Kilometer Relay,Czechoslovakia
1988,Luge,East Germany,Men,1,gold,,Men's Doubles,East Germany-1
1988,Luge,East Germany,Men,2,silver,,Men's Doubles,East Germany-2
1988,Luge,West Germany,Men,3,bronze,,Men's Doubles,West Germany-1
1988,Nordic Combined,West Germany,Men,1,gold,,Men's Team,West Germany
1988,Nordic Combined,Switzerland,Men,2,silver,,Men's Team,Switzerland
1988,Nordic Combined,Austria,Men,3,bronze,,Men's Team,Austria
1988,Ski Jumping,Finland,Men,1,gold,,"Men's Large Hill, Team",Finland
1988,Ski Jumping,Yugoslavia,Men,2,silver,,"Men's Large Hill, Team",Yugoslavia
1988,Ski Jumping,Norway,Men,3,bronze,,"Men's Large Hill, Team",Norway
1992,Biathlon,Germany,Men,1,gold,,Men's 4 × 7.5-Kilometer Relay,Germany
1992,Biathlon,Unified Team,Men,2,silver,,Men's 4 × 7.5-Kilometer Relay,Unified Team
1992,Biathlon,Sweden,Men,3,bronze,,Men's 4 × 7.5-Kilometer Relay,Sweden
1992,Cross-Country Skiing,Norway,Men,1,gold,,Men's 4 × 10-Kilometer Relay,Norway
1992,Cross-Country Skiing,Italy,Men,2,silver,,Men's 4 × 10-Kilometer Relay,Italy
1992,Cross-Country Skiing,Finland,Men,3,bronze,,Men's 4 × 10-Kilometer Relay,Finland
1992,Luge,Germany,Men,1,gold,,Men's Doubles,Germany-1
1992,Luge,Germany,Men,2,silver,,Men's Doubles,Germany-2
1992,Luge,Italy,Men,3,bronze,,Men's Doubles,Italy-1
1992,Nordic Combined,Japan,Men,1,gold,,Men's Team,Japan
1992,Nordic Combined,Norway,Men,2,silver,,Men's Team,Norway
1992,Nordic Combined,Austria,Men,3,bronze,,Men's Team,Austria
1992,Short-Track Speedskating,South Korea,Men,1,gold,,"Men's 5,000-Meter Relay",South Korea
1992,Short-Track Speedskating,Canada,Men,2,silver,,"Men's 5,000-Meter Relay",Canada
1992,Short-Track Speedskating,Japan,Men,3,bronze,,"Men's 5,000-Meter Relay",Japan
1992,Ski Jumping,Finland,Men,1,gold,,"Men's Large Hill, Team",Finland
1992,Ski Jumping,Austria,Men,2,silver,,"Men's Large Hill, Team",Austria
1992,Ski Jumping,Czechoslovakia,Men,3,bronze,,"Men's Large Hill, Team",Czechoslovakia
1994,Biathlon,Germany,Men,1,gold,,Men's 4 × 7.5-Kilometer Relay,Germany
1994,Biathlon,Russia,Men,2,silver,,Men's 4 × 7.5-Kilometer Relay,Russia
1994,Biathlon,France,Men,3,bronze,,Men's 4 × 7.5-Kilometer Relay,France
1994,Cross-Country Skiing,Italy,Men,1,gold,,Men's 4 × 10-Kilometer Relay,Italy
1994,Cross-Country Skiing,Norway,Men,2,silver,,Men's 4 × 10-Kilometer Relay,Norway
1994,Cross-Country Skiing,Finland,Men,3,bronze,,Men's 4 × 10-Kilometer Relay,Finland
1994,Luge,Italy,Men,1,gold,,Men's Doubles,Italy-1
1994,Luge,Italy,Men,2,silver,,Men's Doubles,Italy-2
1994,Luge,Germany,Men,3,bronze,,Men's Doubles,Germany-1
1994,Nordic Combined,Japan,Men,1,gold,,Men's Team,Japan
1994,Nordic Combined,Norway,Men,2,silver,,Men's Team,Norway
1994,Nordic Combined,Switzerland,Men,3,bronze,,Men's Team,Switzerland
1994,Short-Track Speedskating,Italy,Men,1,gold,,"Men's 5,000-Meter Relay",Italy
1994,Short-Track Speedskating,United States,Men,2,silver,,"Men's 5,000-Meter Relay",United States
1994,Short-Track Speedskating,Australia,Men,3,bronze,,"Men's 5,000-Meter Relay",Australia
1994,Ski Jumping,Germany,Men,1,gold,,"Men's Large Hill, Team",Germany
1994,Ski Jumping,Japan,Men,2,silver,,"Men's Large Hill, Team",Japan
1994,Ski Jumping,Austria,Men,3,bronze,,"Men's Large Hill, Team",Austria
1998,Biathlon,Germany,Men,1,gold,,Men's 4 × 7.5-Kilometer Relay,Germany
1998,Biathlon,Norway,Men,2,silver,,Men's 4 × 7.5-Kilometer Relay,Norway
1998,Biathlon,Russia,Men,3,bronze,,Men's 4 × 7.5-Kilometer Relay,Russia
1998,Cross-Country Skiing,Norway,Men,1,gold,,Men's 4 × 10-Kilometer Relay,Norway
1998,Cross-Country Skiing,Italy,Men,2,silver,,Men's 4 × 10-Kilometer Relay,Italy
1998,Cross-Country Skiing,Finland,Men,3,bronze,,Men's 4 × 10-Kilometer Relay,Finland
1998,Curling,Switzerland,Men,1,gold,,Men's Curling,Switzerland
1998,Curling,Canada,Men,2,silver,,Men's Curling,Canada
1998,Curling,Norway,Men,3,bronze,,Men's Curling,Norway
1998,Luge,Germany,Men,1,gold,,Men's Doubles,Germany-1
1998,Luge,United States,Men,2,silver,,Men's Doubles,United States-1
1998,Luge,United States,Men,3,bronze,,Men's Doubles,United States-2
1998,Nordic Combined,Norway,Men,1,gold,,Men's Team,Norway
1998,Nordic Combined,Finland,Men,2,silver,,Men's Team,Finland
1998,Nordic Combined,France,Men,3,bronze,,Men's Team,France
1998,Short-Track Speedskating,Canada,Men,1,gold,,"Men's 5,000-Meter Relay",Canada
1998,Short-Track Speedskating,South Korea,Men,2,silver,,"Men's 5,000-Meter Relay",South Korea
1998,Short-Track Speedskating,China,Men,3,bronze,,"Men's 5,000-Meter Relay",China
1998,Ski Jumping,Japan,Men,1,gold,,"Men's Large Hill, Team",Japan
1998,Ski Jumping,Germany,Men,2,silver,,"Men's Large Hill, Team",Germany
1998,Ski Jumping,Austria,Men,3,bronze,,"Men's Large Hill, Team",Austria
2002,Biathlon,Norway,Men,1,gold,,Men's 4 × 7.5-Kilometer Relay,Norway
2002,Biathlon,Germany,Men,2,silver,,Men's 4 × 7.5-Kilometer Relay,Germany
2002,Biathlon,France,Men,3,bronze,,Men's 4 × 7.5-Kilometer Relay,France
2002,Cross-Country Skiing,Norway,Men,1,gold,,Men's 4 × 10-Kilometer Relay,Norway
2002,Cross-Country Skiing,Italy,Men,2,silver,,Men's 4 × 10-Kilometer Relay,Italy
2002,Cross-Country Skiing,Germany,Men,3,bronze,,Men's 4 × 10-Kilometer Relay,Germany
2002,Curling,Norway,Men,1,gold,,Men's Curling,Norway
2002,Curling,Canada,Men,2,silver,,Men's Curling,Canada
2002,Curling,Switzerland,Men,3,bronze,,Men's Curling,Switzerland
2002,Luge,Germany,Men,1,gold,,Men's Doubles,Germany-2
2002,Luge,United States,Men,2,silver,,Men's Doubles,United States-2
2002,Luge,United States,Men,3,bronze,,Men's Doubles,United States-1
2002,Nordic Combined,Finland,Men,1,gold,,Men's Team,Finland
2002,Nordic Combined,Germany,Men,2,silver,,Men's Team,Germany
2002,Nordic Combined,Austria,Men,3,bronze,,Men's Team,Austria
2002,Short-Track Speedskating,Canada,Men,1,gold,,"Men's 5,000-Meter Relay",Canada
2002,Short-Track Speedskating,Italy,Men,2,silver,,"Men's 5,000-Meter Relay",Italy
2002,Short-Track Speedskating,China,Men,3,bronze,,"Men's 5,000-Meter Relay",China
2002,Ski Jumping,Germany,Men,1,gold,,"Men's Large Hill, Team",Germany
2002,Ski Jumping,Finland,Men,2,silver,,"Men's Large Hill, Team",Finland
2002,Ski Jumping,Slovenia,Men,3,bronze,,"Men's Large Hill, Team",Slovenia
2006,Biathlon,Germany,Men,1,gold,,Men's 4 × 7.5-Kilometer Relay,Germany
2006,Biathlon,Russia,Men,2,silver,,Men's 4 × 7.5-Kilometer Relay,Russia
2006,Biathlon,France,Men,3,bronze,,Men's 4 × 7.5-Kilometer Relay,France
2006,Cross-Country Skiing,Italy,Men,1,gold,,Men's 4 × 10-Kilometer Relay,Italy
2006,Cross-Country Skiing,Germany,Men,2,silver,,Men's 4 × 10-Kilometer Relay,Germany
2006,Cross-Country Skiing,Sweden,Men,3,bronze,,Men's 4 × 10-Kilometer Relay,Sweden
2006,Cross-Country Skiing,Sweden,Men,1,gold,,Men's Team Sprint,Sweden
2006,Cross-Country Skiing,Norway,Men,2,silver,,Men's Team Sprint,Norway
2006,Cross-Country Skiing,Russia,Men,3,bronze,,Men's Team Sprint,Russia
2006,Curling,Canada,Men,1,gold,,Men's Curling,Canada
2006,Curling,Finland,Men,2,silver,,Men's Curling,Finland
2006,Curling,United States,Men,3,bronze,,Men's Curling,United States
2006,Luge,Austria,Men,1,gold,,Men's Doubles,Austria-1
2006,Luge,Germany,Men,2,silver,,Men's Doubles,Germany-1
2006,Luge,Italy,Men,3,bronze,,Men's Doubles,Italy-1
2006,Nordic Combined,Austria,Men,1,gold,,Men's Team,Austria
2006,Nordic Combined,Germany,Men,2,silver,,Men's Team,Germany
2006,Nordic Combined,Finland,Men,3,bronze,,Men's Team,Finland
2006,Short-Track Speedskating,South Korea,Men,1,gold,,"Men's 5,000-Meter Relay",South Korea
2006,Short-Track Speedskating,Canada,Men,2,silver,,"Men's 5,000-Meter Relay",Canada
2006,Short-Track Speedskating,United States,Men,3,bronze,,"Men's 5,000-Meter Relay",United States
2006,Ski Jumping,Austria,Men,1,gold,,"Men's Large Hill, Team",Austria
2006,Ski Jumping,Finland,Men,2,silver,,"Men's Large Hill, Team",Finland
2006,Ski Jumping,Norway,Men,3,bronze,,"Men's Large Hill, Team",Norway
2006,Speedskating,Italy,Men,1,gold,,Men's Team Pursuit (8 laps),Italy
2006,Speedskating,Canada,Men,2,silver,,Men's Team Pursuit (8 laps),Canada
2006,Speedskating,Netherlands,Men,3,bronze,,Men's Team Pursuit (8 laps),Netherlands
2010,Biathlon,Norway,Men,1,gold,,Men's 4 × 7.5-Kilometer Relay,Norway
2010,Biathlon,Austria,Men,2,silver,,Men's 4 × 7.5-Kilometer Relay,Austria
2010,Biathlon,Russia,Men,3,bronze,,Men's 4 × 7.5-Kilometer Relay,Russia
2010,Cross-Country Skiing,Sweden,Men,1,gold,,Men's 4 × 10-Kilometer Relay,Sweden
2010,Cross-Country Skiing,Norway,Men,2,silver,,Men's 4 × 10-Kilometer Relay,Norway
2010,Cross-Country Skiing,Czech Republic,Men,3,bronze,,Men's 4 × 10-Kilometer Relay,Czech Republic
2010,Cross-Country Skiing,Norway,Men,1,gold,,Men's Team Sprint,Norway
2010,Cross-Country Skiing,Germany,Men,2,silver,,Men's Team Sprint,Germany
2010,Cross-Country Skiing,Russia,Men,3,bronze,,Men's Team Sprint,Russia
2010,Curling,Canada,Men,1,gold,,Men's Curling,Canada
2010,Curling,Norway,Men,2,silver,,Men's Curling,Norway
2010,Curling,Switzerland,Men,3,bronze,,Men's Curling,Switzerland
2010,Luge,Austria,Men,1,gold,,Men's Doubles,Austria-1
2010,Luge,Latvia,Men,2,silver,,Men's Doubles,Latvia-1
2010,Luge,Germany,Men,3,bronze,,Men's Doubles,Germany-2
2010,Nordic Combined,Austria,Men,1,gold,,Men's Team,Austria
2010,Nordic Combined,United States,Men,2,silver,,Men's Team,United States
2010,Nordic Combined,Germany,Men,3,bronze,,Men's Team,Germany
2010,Short-Track Speedskating,Canada,Men,1,gold,,"Men's 5,000-Meter Relay",Canada
2010,Short-Track Speedskating,South Korea,Men,2,silver,,"Men's 5,000-Meter Relay",South Korea
2010,Short-Track Speedskating,United States,Men,3,bronze,,"Men's 5,000-Meter Relay",United States
2010,Ski Jumping,Austria,Men,1,gold,,"Men's Large Hill, Team",Austria
2010,Ski Jumping,Germany,Men,2,silver,,"Men's Large Hill, Team",Germany
2010,Ski Jumping,Norway,Men,3,bronze,,"Men's Large Hill, Team",Norway
2010,Speedskating,Canada,Men,1,gold,,Men's Team Pursuit (8 laps),Canada
2010,Speedskating,United States,Men,2,silver,,Men's Team Pursuit (8 laps),United States
2010,Speedskating,Netherlands,Men,3,bronze,,Men's Team Pursuit (8 laps),Netherlands
